sumlev,logrecno,place_id_2010,name,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
160,0386449,3734200,Jacksonville,70145,47460,14055,502,1748,208,2865,3307,9106,61039,42797,13453,390,1653,184,130,2432
160,0386455,3734260,James City,5899,4711,796,21,64,4,160,143,347,5552,4564,790,17,62,2,6,111
160,0386462,3734300,Jamestown,3382,2726,461,14,85,2,39,55,107,3275,2670,457,13,84,2,10,39
160,0386468,3734320,Jamesville,491,301,171,0,2,0,3,14,12,479,295,170,0,2,0,1,11
160,0386473,3734440,Jefferson,1611,1459,20,1,17,0,99,15,146,1465,1415,20,1,17,0,1,11
160,0386478,3734840,Jonesville,2285,1864,263,4,2,0,85,67,167,2118,1797,260,3,2,0,0,56
160,0386483,3735200,Kannapolis,42625,29214,8659,144,487,12,3087,1022,5166,37459,27574,8527,113,470,8,50,717
160,0386494,3735340,Keener,567,375,83,9,1,6,85,8,105,462,363,83,8,1,1,1,5
160,0386499,3735360,Kelford,251,58,190,0,0,0,0,3,0,251,58,190,0,0,0,0,3
160,0386504,3735440,Kelly,544,294,234,5,0,0,4,7,12,532,289,234,5,0,0,0,4
160,0386509,3735460,Kenansville,855,495,323,5,9,0,12,11,33,822,482,320,5,9,0,0,6
160,0386514,3735540,Kenly,1339,783,472,9,9,0,55,11,108,1231,739,469,6,8,0,1,8
160,0386523,3735600,Kernersville,23123,17979,2905,106,446,6,1139,542,2246,20877,17103,2866,67,436,3,31,371
160,0386536,3735720,Kill Devil Hills,6683,6000,82,35,92,5,326,143,608,6075,5755,77,26,92,3,5,117
160,0386541,3735760,King,6904,6569,132,18,52,0,66,67,199,6705,6444,130,18,52,0,13,48
160,0386549,3735870,Kings Grant,8113,6315,1163,56,88,11,326,154,555,7558,6113,1150,43,88,10,16,138
160,0386555,3735880,Kings Mountain,10296,7511,2315,22,161,1,112,174,268,10028,7378,2307,19,158,1,18,147
160,0386565,3735890,Kingstown,681,55,607,1,6,0,5,7,7,674,53,607,1,6,0,0,7
160,0386571,3735920,Kinston,21677,6211,14749,50,152,12,225,278,512,21165,6022,14673,41,146,12,28,243
160,0386578,3736020,Kittrell,467,141,312,0,1,1,5,7,9,458,140,312,0,1,1,0,4
160,0386583,3736060,Kitty Hawk,3272,3151,35,5,27,2,16,36,96,3176,3078,28,5,27,2,1,35
160,0386588,3736080,Knightdale,11401,5698,4368,66,193,6,670,400,1299,10102,5235,4318,44,187,5,25,288
160,0386594,3736220,Kure Beach,2012,1952,17,7,12,0,7,17,36,1976,1923,15,7,12,0,4,15
160,0386599,3736400,La Grange,2873,1164,1591,6,20,2,58,32,97,2776,1136,1587,5,20,1,2,25
160,0386604,3736480,Lake Junaluska,2734,2675,8,14,9,1,14,13,47,2687,2642,8,14,9,0,2,12
160,0386609,3736500,Lake Lure,1192,1148,19,2,7,1,3,12,19,1173,1130,19,2,7,1,2,12
160,0386614,3736511,Lake Norman of Catawba,7411,7037,182,12,51,2,39,88,149,7262,6945,182,12,51,1,4,67
160,0386619,3736512,Lake Park,3422,2970,239,17,65,0,55,76,177,3245,2860,236,16,65,0,6,62
160,0386624,3736513,Lake Royale,2506,2058,363,17,12,0,15,41,57,2449,2022,356,17,12,0,3,39
160,0386629,3736514,Lake Santeetlah,45,41,0,1,0,0,3,0,4,41,41,0,0,0,0,0,0
160,0386634,3736640,Lake Waccamaw,1480,1197,198,58,2,0,6,19,18,1462,1192,196,55,2,0,0,17
160,0386639,3736860,Landis,3109,2857,101,16,17,0,92,26,241,2868,2721,100,15,17,0,2,13
160,0386646,3736960,Lansing,158,149,2,0,0,1,1,5,1,157,149,2,0,0,1,0,5
160,0386651,3737000,Lasker,122,93,18,0,4,0,4,3,4,118,93,18,0,4,0,0,3
160,0386656,3737040,Lattimore,488,462,15,0,3,0,4,4,15,473,449,15,0,3,0,2,4
