geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45043920204,Georgetown,SC,2701.4211680355543,811.4211680355543,1801,8,20,0,29,32,86,2615.4211680355543,769.4211680355543,1795,7,19,0,0,25
45043920301,Georgetown,SC,4630,2421,2039,14,25,0,101,30,190,4440,2341,2037,10,25,0,3,24
45043920302,Georgetown,SC,2891,2076,658,8,32,0,93,24,145,2746,2029,653,6,32,0,8,18
45043920400,Georgetown,SC,2957,717,2217,2,3,0,1,17,27,2930,699,2209,2,3,0,1,16
45043920502,Georgetown,SC,3423,2935,412,8,13,2,25,28,55,3368,2911,412,8,13,2,1,21
45043920504,Georgetown,SC,5238.051374251331,4699.051374251331,442,13,13,1,18,52,96,5142.051374251331,4635.051374251331,440,13,13,1,3,37
45043920506,Georgetown,SC,2498,2370,87,3,21,2,5,10,17,2481,2362,87,3,21,1,0,7
45043920507,Georgetown,SC,2933.876203636319,2131.1661265311263,744.7100771051929,9,6,1,18,24,41.99447765914653,2891.8817259771727,2112.1716488719794,739.7100771051929,9,6,1,0,24
45043920508,Georgetown,SC,2390.948625748669,2227.948625748669,126,4,13,0,12,8,40,2350.948625748669,2199.948625748669,126,4,13,0,0,8
45043920509,Georgetown,SC,1297.123796363681,1269.833873468874,21.289922894807145,0,1,0,1,4,6.005522340853469,1291.1182740228276,1265.8283511280204,21.289922894807145,0,1,0,0,3
45043920510,Georgetown,SC,1563.5864502457036,1492.5864502457036,36,9,15,0,1,10,26,1537.5864502457036,1471.5864502457036,35,9,15,0,1,6
45043920511,Georgetown,SC,2829.039167620404,2652.7583595349824,75.16731685789655,4.542147616204315,43.15675932206224,0,28.624101126136313,24.790483163122364,87.69453830847851,2741.3446293119255,2603.589321884146,74.20908339943696,4.542147616204315,43.15675932206224,0,0,15.847317090076176
45043920601,Georgetown,SC,4754,960,3625,7,18,1,66,77,123,4631,928,3610,7,18,0,4,64
45043920602,Georgetown,SC,2157,1027,1059,5,0,1,26,39,45,2112,1017,1053,5,0,1,1,35
45043920701,Georgetown,SC,1997.4217248819102,1349.6731917365926,560.7485331453177,8,6,4,55,14,127,1870.4217248819102,1283.6731917365926,558.7485331453177,8,6,0,0,14
45043920702,Georgetown,SC,3435.57827511809,1934.3268082634074,1134.2514668546823,5,27,0,308,27,433,3002.57827511809,1831.3268082634074,1122.2514668546823,5,26,0,1,17
45043920800,Georgetown,SC,3913,1370,2429,8,5,1,59,41,111,3802,1344,2423,7,5,0,1,22
45043990100,Georgetown,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45045000100,Greenville,SC,2265,1544,653,0,13,0,42,13,108,2157,1484,651,0,13,0,2,7
45045000200,Greenville,SC,954,866,49,5,19,0,5,10,25,929,846,49,5,19,0,0,10
45045000400,Greenville,SC,1163,732,395,8,3,0,2,23,9,1154,724,395,7,3,0,2,23
45045000500,Greenville,SC,1286,277,958,3,6,0,6,36,28,1258,265,949,3,6,0,3,32
45045000700,Greenville,SC,1974,315,1558,5,1,0,57,38,85,1889,299,1555,5,1,0,1,28
45045000800,Greenville,SC,1346,283,966,3,0,0,59,35,107,1239,251,952,1,0,0,2,33
45045000900,Greenville,SC,1136,313,764,3,1,8,21,26,69,1067,277,760,2,1,1,3,23
45045001000,Greenville,SC,2061,1567,397,10,26,0,17,44,64,1997,1526,396,8,26,0,1,40
45045001101,Greenville,SC,3823,3495,201,5,34,6,42,40,144,3679,3395,201,4,34,6,5,34
45045001102,Greenville,SC,1663,1468,72,7,13,1,64,38,128,1535,1410,72,5,12,1,2,33
45045001203,Greenville,SC,3297,3012,46,7,177,9,26,20,118,3179,2906,45,6,176,9,19,18
45045001204,Greenville,SC,2721,1698,820,5,55,4,71,68,179,2542,1619,807,1,53,4,4,54
45045001205,Greenville,SC,1323,738,370,5,51,0,145,14,242,1081,661,361,1,50,0,0,8
45045001302,Greenville,SC,1453,1236,132,2,11,8,29,35,48,1405,1214,132,2,11,8,5,33
45045001400,Greenville,SC,3769,2927,747,4,28,1,8,54,60,3709,2885,740,4,28,1,2,49
45045001501,Greenville,SC,3569,3380,145,6,7,0,7,24,53,3516,3340,140,5,7,0,2,22
45045001502,Greenville,SC,2526,265,2168,2,6,0,12,73,46,2480,256,2153,2,3,0,3,63
45045001600,Greenville,SC,4680,4069,251,5,106,7,184,58,377,4303,3889,249,4,106,7,3,45
45045001700,Greenville,SC,4070,2606,472,31,152,13,700,96,1076,2994,2277,469,18,152,13,3,62
45045001803,Greenville,SC,3908,2929,291,11,250,5,299,123,553,3355,2714,289,11,250,5,9,77
45045001804,Greenville,SC,4136,3470,449,5,74,2,68,68,225,3911,3337,444,5,74,2,5,44
45045001805,Greenville,SC,4484,3896,350,14,79,6,88,51,201,4283,3793,348,13,78,6,6,39
45045001807,Greenville,SC,5415,4232,767,7,87,0,183,139,456,4959,3995,752,5,87,0,11,109
45045001808,Greenville,SC,3380,2341,698,11,131,1,112,86,270,3110,2210,693,9,131,1,5,61
45045001809,Greenville,SC,3084,2254,504,11,99,7,127,82,383,2701,2050,493,7,98,5,1,47
45045001810,Greenville,SC,3633,1972,979,40,53,12,434,143,973,2660,1549,971,8,52,11,2,67
45045001900,Greenville,SC,4646,3629,888,7,61,0,27,34,71,4575,3612,868,6,58,0,1,30
45045002001,Greenville,SC,2862,294,2392,8,2,0,126,40,241,2621,219,2377,2,2,0,1,20
45045002003,Greenville,SC,4548,1346,2132,40,15,4,913,98,1198,3350,1140,2113,11,14,3,5,64
45045002005,Greenville,SC,3613,1043,2355,12,19,1,112,71,198,3415,976,2342,10,19,1,8,59
45045002103,Greenville,SC,3322,1983,1100,4,12,0,171,52,231,3091,1939,1095,4,12,0,3,38
45045002104,Greenville,SC,1426,661,584,5,1,0,148,27,220,1206,605,575,5,0,0,4,17
45045002105,Greenville,SC,2219,762,1310,5,13,0,88,41,188,2031,687,1294,4,13,0,4,29
45045002106,Greenville,SC,3363,1872,1020,28,6,0,338,99,568,2795,1714,1009,5,6,0,2,59
45045002107,Greenville,SC,2635,1539,777,6,10,0,236,67,387,2248,1410,774,2,9,0,3,50
45045002108,Greenville,SC,1435,715,657,9,4,0,17,33,43,1392,696,650,9,4,0,2,31
45045002202,Greenville,SC,1933,1200,334,1,4,2,331,61,505,1428,1049,328,1,3,2,1,44
45045002203,Greenville,SC,3160,1909,641,13,15,0,496,86,846,2314,1613,620,5,15,0,8,53
45045002204,Greenville,SC,2872,1876,369,32,3,0,510,82,822,2050,1630,361,21,2,0,1,35
45045002301,Greenville,SC,3917,2881,486,95,31,0,334,90,682,3235,2643,476,27,28,0,1,60
45045002302,Greenville,SC,3278,2145,617,42,43,4,309,118,475,2803,2040,606,11,43,0,8,95
45045002303,Greenville,SC,1922,907,629,14,12,7,303,50,451,1471,800,611,9,12,4,4,31
45045002304,Greenville,SC,2449,841,1428,2,26,2,110,40,216,2233,763,1409,2,26,2,5,26
