place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
4535635,India Hook,SC,3328,2928,209,14,46,2,58,71,164,3164,2848,208,14,46,0,0,48
4535755,Inman,SC,2321,1600,566,2,62,0,40,51,77,2244,1573,559,2,62,0,2,46
4535800,Inman Mills,SC,1050,933,81,3,14,0,7,12,19,1031,923,81,3,14,0,0,10
4535890,Irmo,SC,11097,7171,3316,41,178,0,115,276,371,10726,6981,3277,41,178,0,26,223
4535980,Irwin,SC,1405,952,406,4,1,0,30,12,51,1354,935,406,4,1,0,0,8
4536070,Islandton,SC,70,44,25,0,0,0,1,0,1,69,44,25,0,0,0,0,0
4536115,Isle of Palms,SC,4133,4036,23,6,31,0,7,30,44,4089,3996,23,6,30,0,6,28
4536160,Iva,SC,1218,1112,78,9,10,0,0,9,3,1215,1109,78,9,10,0,0,9
4536205,Jackson,SC,1700,1425,233,7,13,0,2,20,32,1668,1397,231,7,13,0,1,19
4536250,Jacksonboro,SC,478,155,318,0,0,0,0,5,3,475,155,315,0,0,0,0,5
4536475,Jamestown,SC,72,31,40,0,0,0,0,1,0,72,31,40,0,0,0,0,1
4536610,Jefferson,SC,753,467,233,0,12,0,12,29,11,742,466,233,0,12,0,2,29
4536655,Jenkinsville,SC,46,0,46,0,0,0,0,0,0,46,0,46,0,0,0,0,0
4536790,Joanna,SC,1539,1220,252,9,4,0,43,11,73,1466,1191,252,9,4,0,0,10
4537105,Johnsonville,SC,1480,1096,323,3,23,4,10,21,38,1442,1079,312,3,23,4,0,21
4537150,Johnston,SC,2362,845,1481,3,4,0,11,18,43,2319,815,1481,3,4,0,0,16
4537330,Jonesville,SC,911,596,297,2,0,0,5,11,17,894,590,292,2,0,0,0,10
4537465,Judson,SC,2050,626,1214,10,2,0,115,83,269,1781,524,1206,5,2,0,1,43
4538095,Kershaw,SC,1803,1273,478,13,7,0,8,24,24,1779,1258,477,13,7,0,0,24
4538162,Kiawah Island,SC,1626,1575,36,0,5,0,5,5,14,1612,1566,36,0,5,0,0,5
4538590,Kingstree,SC,3328,980,2247,2,81,0,0,18,19,3309,973,2235,2,81,0,0,18
4538950,Kline,SC,197,98,88,0,0,0,9,2,18,179,90,88,0,0,0,0,1
4539220,Ladson,SC,13790,8484,3622,111,297,8,775,493,1554,12236,7885,3532,95,286,7,27,404
4539310,Lake City,SC,6675,1296,5173,19,17,0,113,57,203,6472,1251,5137,17,17,0,4,46
4539475,Lake Murray of Richland,SC,5484,5271,74,11,62,0,17,49,93,5391,5203,74,10,62,0,7,35
4539512,Lake Secession,SC,1083,1036,27,4,1,0,0,15,4,1079,1033,27,4,1,0,0,14
4539715,Lake View,SC,807,526,266,4,1,0,8,2,12,795,523,266,3,1,0,0,2
4539772,Lakewood,SC,3032,1865,1034,5,23,0,49,56,112,2920,1822,1029,5,23,0,2,39
4539785,Lake Wylie,SC,8841,7842,632,26,128,10,81,122,347,8494,7605,613,19,126,8,19,104
4539805,Lamar,SC,989,478,489,6,4,0,5,7,7,982,476,487,6,4,0,2,7
4539895,Lancaster,SC,8526,3664,4378,15,79,1,296,93,488,8038,3515,4353,15,79,0,7,69
4540075,Landrum,SC,2376,1936,308,6,22,0,50,54,103,2273,1900,307,5,22,0,0,39
4540210,Lane,SC,508,44,460,0,0,0,0,4,1,507,44,460,0,0,0,0,3
4540390,Langley,SC,1447,1330,69,5,4,1,12,26,37,1410,1311,68,5,4,0,0,22
4540480,Latta,SC,1379,817,530,5,1,0,5,21,17,1362,813,530,5,1,0,1,12
4540525,Laurel Bay,SC,5891,3944,1408,52,74,7,182,224,652,5239,3616,1358,37,64,7,7,150
4540615,Laurens,SC,9139,4801,3916,24,27,2,261,108,524,8615,4587,3879,21,24,2,5,97
4541065,Lesslie,SC,3112,2641,319,23,54,0,22,53,90,3022,2582,312,23,54,0,2,49
4541335,Lexington,SC,17870,14434,2264,48,665,6,192,261,631,17239,14027,2237,47,664,6,29,229
4541380,Liberty,SC,3269,2833,299,4,14,0,51,68,131,3138,2771,297,4,14,0,1,51
